Season,Date,Time,Home,Away,Home_Score,Away_Score,result
2018,14/1/18,15:00,Brisbane Bullets,Perth Wildcats,80,81,0
2018,18/1/18,17:30,NZ Breakers,Melbourne United,98,81,1
2018,19/1/18,21:30,Perth Wildcats,Sydney Kings,77,84,0
2018,19/1/18,19:30,Adelaide 36ers,Illawarra Hawks,112,90,1
2018,20/1/18,19:30,Cairns Taipans,NZ Breakers,81,71,1
2018,20/1/18,17:30,Brisbane Bullets,Melbourne United,95,103,0
2018,21/1/18,17:00,Illawarra Hawks,Adelaide 36ers,93,112,0
2018,21/1/18,15:00,Sydney Kings,Perth Wildcats,84,56,1
2018,24/1/18,19:30,Melbourne United,Cairns Taipans,79,68,1
2018,27/1/18,20:30,Perth Wildcats,NZ Breakers,90,73,1
2018,27/1/18,17:30,Brisbane Bullets,Adelaide 36ers,95,90,1
2018,28/1/18,17:00,Illawarra Hawks,Cairns Taipans,88,78,1
2018,28/1/18,15:00,Sydney Kings,Melbourne United,76,93,0
2018,2/2/18,21:30,Perth Wildcats,Adelaide 36ers,111,90,1
2018,2/2/18,19:30,Illawarra Hawks,NZ Breakers,73,77,0
2018,3/2/18,19:30,Cairns Taipans,Sydney Kings,86,93,0
2018,3/2/18,17:30,Melbourne United,Brisbane Bullets,69,61,1
2018,4/2/18,15:00,Adelaide 36ers,Perth Wildcats,94,82,1
2018,4/2/18,13:00,NZ Breakers,Illawarra Hawks,88,84,1
2018,8/2/18,19:30,Brisbane Bullets,Illawarra Hawks,99,91,1
2018,9/2/18,21:30,Perth Wildcats,Cairns Taipans,83,85,0
2018,9/2/18,19:30,Melbourne United,NZ Breakers,89,83,1
2018,10/2/18,17:30,Sydney Kings,Brisbane Bullets,92,80,1
2018,11/2/18,15:00,Illawarra Hawks,Adelaide 36ers,87,111,0
2018,11/2/18,13:00,NZ Breakers,Melbourne United,82,100,0
2018,15/2/18,19:30,Brisbane Bullets,Sydney Kings,73,90,0
2018,16/2/18,19:30,Melbourne United,Perth Wildcats,97,85,1
2018,16/2/18,17:30,NZ Breakers,Illawarra Hawks,82,84,0
2018,17/2/18,17:30,Adelaide 36ers,Brisbane Bullets,105,82,1
2018,18/2/18,19:00,Perth Wildcats,Cairns Taipans,89,61,1
2018,18/2/18,17:00,Sydney Kings,NZ Breakers,101,86,1
2018,18/2/18,15:00,Melbourne United,Illawarra Hawks,84,94,0
2018,3/3/18,19:30,Adelaide 36ers,Perth Wildcats,109,74,1
2018,3/3/18,17:30,Melbourne United,NZ Breakers,88,77,1
2018,5/3/18,17:30,NZ Breakers,Melbourne United,86,88,0
2018,9/3/18,21:30,Perth Wildcats,Adelaide 36ers,88,89,0
2018,16/3/18,19:30,Melbourne United,Adelaide 36ers,107,96,1
2018,18/3/18,15:00,Adelaide 36ers,Melbourne United,110,95,1
2018,23/3/18,19:30,Melbourne United,Adelaide 36ers,101,98,1
2018,25/3/18,15:00,Adelaide 36ers,Melbourne United,90,81,1
2018,31/3/18,18:00,Melbourne United,Adelaide 36ers,100,82,1
