Date,Home,Away,Score,Season
04.12. 21:30,Perth Wildcats,Adelaide 36ers,90 : 72,2015/16
04.12. 19:30,Cairns Taipans,Sydney Kings,101 : 83,2015/16
03.12. 19:30,Illawarra Hawks,Melbourne United,102 : 87,2015/16
02.12. 19:30,Townsville,Cairns Taipans,90 : 76,2015/16
02.12. 17:30,NZ Breakers,Perth Wildcats,99 : 78,2015/16
28.11. 19:30,Illawarra Hawks,Townsville,108 : 70,2015/16
27.11. 21:30,Perth Wildcats,NZ Breakers,86 : 80,2015/16
27.11. 19:30,Cairns Taipans,Adelaide 36ers,83 : 88,2015/16
26.11. 19:30,Townsville,Melbourne United,63 : 66,2015/16
25.11. 19:30,Illawarra Hawks,Sydney Kings,96 : 90,2015/16
22.11. 19:00,Perth Wildcats,Cairns Taipans,91 : 90,2015/16
22.11. 15:00,NZ Breakers,Melbourne United,80 : 69,2015/16
21.11. 19:30,Adelaide 36ers,Illawarra Hawks,89 : 77,2015/16
20.11. 19:30,Melbourne United,Townsville,78 : 82,2015/16
19.11. 19:30,Sydney Kings,NZ Breakers,74 : 86,2015/16
18.11. 19:30,Adelaide 36ers,Perth Wildcats,88 : 94,2015/16
14.11. 19:30,Adelaide 36ers,Townsville,89 : 65,2015/16
13.11. 19:30,Cairns Taipans,Melbourne United,82 : 70,2015/16
13.11. 17:30,NZ Breakers,Perth Wildcats,88 : 80,2015/16
12.11. 19:30,Sydney Kings,Adelaide 36ers,106 : 84,2015/16
11.11. 19:30,Illawarra Hawks,Perth Wildcats,96 : 99,2015/16
08.11. 15:00,Melbourne United,NZ Breakers,87 : 86,2015/16
07.11. 19:30,Adelaide 36ers,Sydney Kings,99 : 98,2015/16
06.11. 21:30,Perth Wildcats,Townsville,85 : 77,2015/16
06.11. 19:30,Illawarra Hawks,Cairns Taipans,96 : 88,2015/16
05.11. 19:30,Sydney Kings,Melbourne United,94 : 105,2015/16
05.11. 17:30,NZ Breakers,Adelaide 36ers,98 : 88,2015/16
04.11. 19:30,Townsville,Perth Wildcats,89 : 77,2015/16
01.11. 15:00,Melbourne United,Sydney Kings,96 : 82,2015/16
